STATE,TIME,MR,PD,HDI,GINI,BEDS,PR,SR,AT,MA,T60,T90,T120
Tennessee,90,0.0066304921448965505,167.2749,0.892,0.468,2.9,0.1573,0.226,57.6,38.7,0,1,0
Tennessee,120,0.011095925630235044,167.2749,0.892,0.468,2.9,0.1573,0.226,57.6,38.7,0,0,1
Texas,30,9.359803766872749e-4,112.8204,0.909,0.469,2.3,0.1511,0.157,64.8,34.4,0,0,0
Texas,60,0.004375080687963507,112.8204,0.909,0.469,2.3,0.1511,0.157,64.8,34.4,1,0,0
Texas,90,0.007469912354940973,112.8204,0.909,0.469,2.3,0.1511,0.157,64.8,34.4,0,1,0
Texas,120,0.01203505802361109,112.8204,0.909,0.469,2.3,0.1511,0.157,64.8,34.4,0,0,1
Utah,30,5.910650664127275e-4,39.943,0.93,0.419,1.8,0.1018,0.08900000000000001,48.6,30.7,0,0,0
Utah,60,0.0024627711100530317,39.943,0.93,0.419,1.8,0.1018,0.08900000000000001,48.6,30.7,1,0,0
Utah,90,0.004564335790631618,39.943,0.93,0.419,1.8,0.1018,0.08900000000000001,48.6,30.7,0,1,0
Utah,120,0.007092780796952731,39.943,0.93,0.419,1.8,0.1018,0.08900000000000001,48.6,30.7,0,0,1
Vermont,30,0.006080223752234082,68.1416,0.936,0.444,2.1,0.1073,0.158,42.9,42.9,0,0,0
Vermont,60,0.008640317963701063,68.1416,0.936,0.444,2.1,0.1073,0.158,42.9,42.9,1,0,0
Vermont,90,0.00880032385191775,68.1416,0.936,0.444,2.1,0.1073,0.158,42.9,42.9,0,1,0
Vermont,120,0.008960329740134438,68.1416,0.936,0.444,2.1,0.1073,0.158,42.9,42.9,0,0,1
Virginia,30,0.0016758242737797682,218.4404,0.929,0.459,2.1,0.1062,0.16399999999999998,55.1,38.1,0,0,0
Virginia,60,0.010601668455401086,218.4404,0.929,0.459,2.1,0.1062,0.16399999999999998,55.1,38.1,1,0,0
Virginia,90,0.01806562337691665,218.4404,0.929,0.459,2.1,0.1062,0.16399999999999998,55.1,38.1,0,1,0
Virginia,120,0.023318916490467412,218.4404,0.929,0.459,2.1,0.1062,0.16399999999999998,55.1,38.1,0,0,1
Washington,30,0.0011241592796606685,117.3273,0.94,0.441,1.7,0.1126,0.135,48.3,37.6,0,0,0
Washington,60,0.008499740894995297,117.3273,0.94,0.441,1.7,0.1126,0.135,48.3,37.6,1,0,0
Washington,90,0.014038281736250297,117.3273,0.94,0.441,1.7,0.1126,0.135,48.3,37.6,0,1,0
Washington,120,0.0168075521568778,117.3273,0.94,0.441,1.7,0.1126,0.135,48.3,37.6,0,0,1
West Virginia,30,0.0016948689210245756,73.9691,0.872,0.451,3.8,0.1725,0.26,51.8,42.4,0,0,0
West Virginia,60,0.003936469752057079,73.9691,0.872,0.451,3.8,0.1725,0.26,51.8,42.4,1,0,0
West Virginia,90,0.004865913999070556,73.9691,0.872,0.451,3.8,0.1725,0.26,51.8,42.4,0,1,0
West Virginia,120,0.005521992291080069,73.9691,0.872,0.451,3.8,0.1725,0.26,51.8,42.4,0,0,1
Wisconsin,30,0.002665102217053539,108.0496,0.928,0.43,2.1,0.1156,0.16,43.1,39.3,0,0,0
Wisconsin,60,0.007285766450516493,108.0496,0.928,0.43,2.1,0.1156,0.16,43.1,39.3,1,0,0
Wisconsin,90,0.011906430683979449,108.0496,0.928,0.43,2.1,0.1156,0.16,43.1,39.3,0,1,0
Wisconsin,120,0.014173498154330184,108.0496,0.928,0.43,2.1,0.1156,0.16,43.1,39.3,0,0,1
Wyoming,30,3.4373947297864006e-4,5.84,0.932,0.423,3.5,0.1088,0.187,42,37.3,0,0,0
Wyoming,60,0.0017186973648932002,5.84,0.932,0.423,3.5,0.1088,0.187,42,37.3,1,0,0
Wyoming,90,0.0030936552568077602,5.84,0.932,0.423,3.5,0.1088,0.187,42,37.3,0,1,0
Wyoming,120,0.004124873675743681,5.84,0.932,0.423,3.5,0.1088,0.187,42,37.3,0,0,1
