State,state,TIME,MR,PD,GINI,BEDS,SR,HDI,LE,PR,T90,T180
Utah,UT,30,6.567389626808084e-4,39.943,0.419,1.8,0.08900000000000001,0.93,79.9,0.1018,0,0
Utah,UT,90,0.004564335790631618,39.943,0.419,1.8,0.08900000000000001,0.93,79.9,0.1018,1,0
Utah,UT,180,0.014218398542039504,39.943,0.419,1.8,0.08900000000000001,0.93,79.9,0.1018,0,1
Virginia,VA,30,0.0014381187030308648,218.4404,0.459,2.1,0.16399999999999998,0.929,79.5,0.1062,0,0
Virginia,VA,90,0.017994311705691976,218.4404,0.459,2.1,0.16399999999999998,0.929,79.5,0.1062,1,0
Virginia,VA,180,0.03192385815157771,218.4404,0.459,2.1,0.16399999999999998,0.929,79.5,0.1062,0,1
Vermont,VT,30,0.005600206087584023,68.1416,0.444,2.1,0.158,0.936,79.7,0.1073,0,0
Vermont,VT,90,0.00880032385191775,68.1416,0.444,2.1,0.158,0.936,79.7,0.1073,1,0
Vermont,VT,180,0.009280341516567809,68.1416,0.444,2.1,0.158,0.936,79.7,0.1073,0,1
Washington,WA,30,0.0026733056040711017,117.3273,0.441,1.7,0.135,0.94,80.4,0.1126,0,0
Washington,WA,90,0.01532695213000765,117.3273,0.441,1.7,0.135,0.94,80.4,0.1126,1,0
Washington,WA,180,0.026116139362848456,117.3273,0.441,1.7,0.135,0.94,80.4,0.1126,0,1
Wisconsin,WI,30,0.002665102217053539,108.0496,0.43,2.1,0.16,0.928,79.4,0.1156,0,0
Wisconsin,WI,90,0.012027571693845517,108.0496,0.43,2.1,0.16,0.928,79.4,0.1156,1,0
Wisconsin,WI,180,0.020784336121307145,108.0496,0.43,2.1,0.16,0.928,79.4,0.1156,0,1
West Virginia,WV,30,0.0013121565840190264,73.9691,0.451,3.8,0.26,0.872,74.8,0.1725,0,0
West Virginia,WV,90,0.004811240808069763,73.9691,0.451,3.8,0.26,0.872,74.8,0.1725,1,0
West Virginia,WV,180,0.016073918154233074,73.9691,0.451,3.8,0.26,0.872,74.8,0.1725,0,1
Wyoming,WY,30,3.4373947297864006e-4,5.84,0.423,3.5,0.187,0.932,79,0.1088,0,0
Wyoming,WY,90,0.0030936552568077602,5.84,0.423,3.5,0.187,0.932,79,0.1088,1,0
Wyoming,WY,180,0.007218528932551441,5.84,0.423,3.5,0.187,0.932,79,0.1088,0,1
